Identification,
,
 Serial Number:,BD 00000057CDDE 41 
 Description:,20180523_S4002_PCP1_i02 
 ,
Model,
,
 Code:,DS1922L-F50 
 Description:,Thermocron: Super 
 Resolution:,0.063 °C/0.5 °C 
 Accuracy:,0.5 °C(-40 °C to 85 °C) 
 Range:,-40 °C to 85 °C 
 Log Size:,4096/8192 
 Features:,"Security, Temperature trigger "
 Sample Mode:,8/11 bit 
 ,
Original calibration data,
,
 Reference temperature:,-8.828
 Actual temperature:,-8.813
 Reference temperature:,25.99
 Actual temperature:,25.813
,
Log Values,
Reading,Values
,
0,27.677°C
1,29.238°C
2,30.175°C
3,30.674°C
4,31.547°C
5,31.984°C
6,32.233°C
7,32.421°C
8,32.171°C
9,32.358°C
10,32.857°C
11,33.231°C
12,33.543°C
13,33.792°C
14,34.042°C
15,34.229°C
16,34.353°C
17,34.54°C
18,34.665°C
19,34.789°C
20,34.914°C
21,35.039°C
22,35.101°C
23,35.226°C
24,35.288°C
25,35.35°C
26,35.413°C
27,35.537°C
28,35.537°C
29,35.599°C
30,35.662°C
31,35.724°C
32,35.786°C
33,35.849°C
34,35.849°C
35,35.911°C
36,35.911°C
37,35.973°C
38,35.973°C
39,36.035°C
40,36.035°C
41,36.098°C
42,36.098°C
43,36.16°C
44,36.16°C
45,36.16°C
46,36.222°C
47,36.222°C
48,36.222°C
49,36.285°C
50,36.285°C
51,36.285°C
52,36.285°C
53,36.347°C
54,36.347°C
55,36.347°C
56,36.347°C
57,36.409°C
58,36.409°C
59,36.409°C
60,36.409°C
61,36.409°C
62,36.471°C
63,36.471°C
64,36.471°C
65,36.471°C
66,36.471°C
67,36.534°C
68,36.534°C
69,36.534°C
70,36.534°C
71,36.534°C
72,36.534°C
73,36.534°C
74,36.534°C
75,36.596°C
76,36.596°C
77,36.596°C
78,36.596°C
79,36.596°C
80,36.596°C
81,36.596°C
82,36.596°C
83,36.596°C
84,36.596°C
85,36.658°C
86,36.658°C
87,36.658°C
88,36.658°C
89,36.658°C
90,36.658°C
91,36.658°C
92,36.658°C
93,36.658°C
94,36.658°C
95,36.658°C
96,36.658°C
97,36.534°C
98,35.662°C
99,35.163°C
100,33.668°C
101,28.177°C
102,25.74°C
103,24.49°C
104,23.74°C
105,23.302°C
106,22.989°C
107,22.801°C
108,22.676°C
109,22.551°C
110,22.489°C
111,22.426°C
112,22.426°C
113,22.426°C
114,22.363°C
115,22.301°C
116,22.238°C
117,22.238°C
118,22.301°C
119,22.301°C
120,22.301°C
121,22.301°C
122,22.363°C
123,22.363°C
124,22.363°C
125,22.363°C
126,22.426°C
127,22.426°C
128,22.426°C
129,22.426°C
130,22.426°C
131,22.489°C
132,22.489°C
133,22.489°C
134,22.489°C
135,22.489°C
136,22.551°C
137,22.551°C
138,22.551°C
139,22.551°C
140,22.551°C
141,22.614°C
142,22.614°C
143,22.614°C
144,22.614°C
145,22.676°C
146,22.676°C
147,22.676°C
148,22.676°C
149,22.676°C
150,22.676°C
151,22.739°C
152,22.739°C
153,22.739°C
154,22.739°C
155,22.739°C
156,22.801°C
157,22.801°C
158,22.801°C
159,22.801°C
160,22.801°C
161,22.864°C
162,22.864°C
163,22.864°C
164,22.864°C
165,22.864°C
166,22.864°C
167,22.926°C
168,22.926°C
169,22.926°C
170,22.926°C
171,22.926°C
172,22.989°C
173,22.989°C
174,22.989°C
175,22.989°C
176,22.989°C
177,22.989°C
