Identification,
,
 Serial Number:,F3 00000057CBA3 41 
 Description:,20180523_S4002_PCP1_i16 
 ,
Model,
,
 Code:,DS1922L-F50 
 Description:,Thermocron: Super 
 Resolution:,0.063 °C/0.5 °C 
 Accuracy:,0.5 °C(-40 °C to 85 °C) 
 Range:,-40 °C to 85 °C 
 Log Size:,4096/8192 
 Features:,"Security, Temperature trigger "
 Sample Mode:,8/11 bit 
 ,
Original calibration data,
,
 Reference temperature:,-8.402
 Actual temperature:,-8.438
 Reference temperature:,25.814
 Actual temperature:,25.688
,
Log Values,
Reading,Values
,
0,21.938°C
1,22.501°C
2,29.563°C
3,30.75°C
4,31.375°C
5,31.437°C
6,31.5°C
7,31.562°C
8,31.624°C
9,31.749°C
10,31.812°C
11,32.311°C
12,32.623°C
13,32.873°C
14,33.06°C
15,33.185°C
16,33.185°C
17,33.248°C
18,33.373°C
19,33.435°C
20,33.497°C
21,33.497°C
22,33.56°C
23,33.56°C
24,33.622°C
25,33.622°C
26,33.622°C
27,33.685°C
28,33.685°C
29,33.747°C
30,33.747°C
31,33.747°C
32,33.747°C
33,33.747°C
34,33.685°C
35,33.622°C
36,33.497°C
37,33.435°C
38,33.373°C
39,33.31°C
40,33.31°C
41,33.31°C
42,33.248°C
43,33.248°C
44,32.998°C
45,32.998°C
46,32.998°C
47,32.936°C
48,32.936°C
49,32.936°C
50,32.936°C
51,32.936°C
52,32.936°C
53,32.998°C
54,32.936°C
55,32.873°C
56,32.186°C
57,32.374°C
58,32.436°C
59,32.499°C
60,32.561°C
61,32.561°C
62,32.499°C
63,32.561°C
64,32.561°C
65,32.499°C
66,32.311°C
67,31.749°C
68,31.937°C
69,31.999°C
70,31.999°C
71,32.061°C
72,32.061°C
73,32.061°C
74,31.999°C
75,31.999°C
76,31.999°C
77,31.937°C
78,31.937°C
79,31.874°C
80,31.874°C
81,31.812°C
82,31.749°C
83,31.687°C
84,31.624°C
85,31.624°C
86,31.5°C
87,31.5°C
88,31.5°C
89,31.375°C
90,31.312°C
91,31.375°C
92,31.312°C
93,31.312°C
94,31.25°C
95,31.187°C
96,31.187°C
97,31.25°C
98,31.25°C
99,31.187°C
100,29.189°C
101,26.314°C
102,24.814°C
103,23.877°C
104,23.376°C
105,23.001°C
106,22.814°C
107,22.626°C
108,22.501°C
109,22.438°C
110,22.376°C
111,22.313°C
112,22.313°C
113,22.313°C
114,22.313°C
115,22.188°C
116,22.188°C
117,22.188°C
118,22.188°C
119,22.251°C
120,22.251°C
121,22.251°C
122,22.313°C
123,22.313°C
124,22.313°C
125,22.313°C
126,22.376°C
127,22.376°C
128,22.376°C
129,22.376°C
130,22.376°C
131,22.438°C
132,22.438°C
133,22.438°C
134,22.438°C
135,22.438°C
136,22.501°C
137,22.501°C
138,22.501°C
139,22.501°C
140,22.501°C
141,22.564°C
142,22.564°C
143,22.564°C
144,22.564°C
145,22.564°C
146,22.626°C
147,22.626°C
148,22.626°C
149,22.626°C
150,22.626°C
151,22.689°C
152,22.689°C
153,22.689°C
154,22.689°C
155,22.689°C
156,22.689°C
157,22.751°C
158,22.751°C
159,22.751°C
160,22.751°C
161,22.751°C
162,22.814°C
163,22.814°C
164,22.814°C
165,22.814°C
166,22.814°C
167,22.814°C
168,22.876°C
169,22.876°C
170,22.876°C
171,22.876°C
172,22.876°C
173,22.876°C
174,22.939°C
175,22.939°C
176,23.501°C
