Identification,
,
 Serial Number:,9A 00000057CB11 41 
 Description:,20180523_S4002_PCP1_i01 
 ,
Model,
,
 Code:,DS1922L-F50 
 Description:,Thermocron: Super 
 Resolution:,0.063 °C/0.5 °C 
 Accuracy:,0.5 °C(-40 °C to 85 °C) 
 Range:,-40 °C to 85 °C 
 Log Size:,4096/8192 
 Features:,"Security, Temperature trigger "
 Sample Mode:,8/11 bit 
 ,
Original calibration data,
,
 Reference temperature:,-8.857
 Actual temperature:,-8.875
 Reference temperature:,25.818
 Actual temperature:,25.688
,
Log Values,
Reading,Values
,
0,21.879°C
1,21.942°C
2,22.005°C
3,25.068°C
4,28.942°C
5,29.629°C
6,30.004°C
7,30.504°C
8,30.629°C
9,31.066°C
10,31.315°C
11,31.565°C
12,31.752°C
13,31.815°C
14,31.877°C
15,31.877°C
16,31.94°C
17,32.127°C
18,32.314°C
19,32.501°C
20,32.689°C
21,32.751°C
22,32.814°C
23,32.814°C
24,32.814°C
25,32.876°C
26,32.876°C
27,32.876°C
28,32.938°C
29,32.876°C
30,32.814°C
31,32.814°C
32,32.814°C
33,32.814°C
34,32.751°C
35,32.626°C
36,32.564°C
37,32.501°C
38,32.439°C
39,32.439°C
40,32.439°C
41,32.501°C
42,32.439°C
43,32.439°C
44,32.501°C
45,32.501°C
46,32.501°C
47,32.501°C
48,32.439°C
49,32.439°C
50,32.439°C
51,32.501°C
52,32.501°C
53,32.439°C
54,32.439°C
55,32.501°C
56,32.564°C
57,32.564°C
58,32.501°C
59,32.501°C
60,32.439°C
61,32.439°C
62,32.439°C
63,32.439°C
64,32.439°C
65,32.439°C
66,32.439°C
67,32.501°C
68,32.501°C
69,32.501°C
70,32.501°C
71,32.501°C
72,32.501°C
73,32.501°C
74,32.501°C
75,32.439°C
76,32.501°C
77,32.501°C
78,32.564°C
79,32.501°C
80,32.439°C
81,32.439°C
82,32.377°C
83,32.439°C
84,32.439°C
85,32.439°C
86,32.439°C
87,32.377°C
88,32.377°C
89,32.377°C
90,32.377°C
91,32.377°C
92,32.377°C
93,32.314°C
94,32.314°C
95,32.314°C
96,32.314°C
97,32.314°C
98,31.752°C
99,31.44°C
100,31.128°C
101,26.881°C
102,24.818°C
103,23.693°C
104,23.13°C
105,22.818°C
106,22.567°C
107,22.442°C
108,22.317°C
109,22.255°C
110,22.192°C
111,22.13°C
112,22.13°C
113,22.13°C
114,22.13°C
115,22.005°C
116,22.005°C
117,22.005°C
118,22.067°C
119,22.067°C
120,22.067°C
121,22.13°C
122,22.13°C
123,22.13°C
124,22.13°C
125,22.192°C
126,22.192°C
127,22.192°C
128,22.192°C
129,22.255°C
130,22.255°C
131,22.255°C
132,22.255°C
133,22.255°C
134,22.317°C
135,22.317°C
136,22.317°C
137,22.317°C
138,22.317°C
139,22.38°C
140,22.38°C
141,22.38°C
142,22.38°C
143,22.38°C
144,22.442°C
145,22.442°C
146,22.442°C
147,22.442°C
148,22.442°C
149,22.505°C
150,22.505°C
151,22.505°C
152,22.505°C
153,22.505°C
154,22.505°C
155,22.567°C
156,22.567°C
157,22.567°C
158,22.567°C
159,22.63°C
160,22.63°C
161,22.63°C
162,22.63°C
163,22.692°C
164,22.692°C
165,22.692°C
166,22.692°C
167,22.692°C
168,22.755°C
169,22.755°C
170,22.755°C
171,22.755°C
172,22.755°C
173,22.755°C
174,22.818°C
175,22.818°C
176,22.818°C
177,22.818°C
178,22.818°C
179,23.818°C
